Comunidad,Ano,GeneroEspecie,NombreComun,Arribos,Ingresos,PrecioPromedio,CPI
El Rosario,2000,Panulirus interruptus,Langosta Roja,28622,7155500,250,9.49156
El Rosario,2001,Panulirus interruptus,Langosta Roja,14069,4924150,350,6.367737
El Rosario,2002,Panulirus interruptus,Langosta Roja,22687,5558315,245,5.030733
El Rosario,2003,Panulirus interruptus,Langosta Roja,23203,8469095,365,4.546898
El Rosario,2004,Panulirus interruptus,Langosta Roja,0,0,299,4.688407
El Rosario,2005,Panulirus interruptus,Langosta Roja,0,0,356,3.988061
El Rosario,2006,Panulirus interruptus,Langosta Roja,0,0,324,3.629463
El Rosario,2007,Panulirus interruptus,Langosta Roja,0,0,357,3.96685
El Rosario,2008,Panulirus interruptus,Langosta Roja,47943.5,12129706,253,5.124982
El Rosario,2009,Panulirus interruptus,Langosta Roja,59608,14365528,241,5.297357
El Rosario,2010,Panulirus interruptus,Langosta Roja,84296.3,22169927,263,4.156728
El Rosario,2011,Panulirus interruptus,Langosta Roja,91347,23841567,261,3.40738
El Rosario,2012,Panulirus interruptus,Langosta Roja,87102,20120562,231,4.111508
